Month,Clicks,Impressions,CTR,Average CPC,Spend,Leads,CPA,Conversion Rate
Jul-21,103,"3,855",2.67%,$8.24,$848.58,6,$141.43,5.83%
Aug-21,373,"12,612",2.96%,$8.15,"$3,038.09",21,$144.67,5.63%
Sep-21,349,"12,207",2.86%,$8.19,"$2,858.45",19,$150.44,5.44%
Oct-21,354,"11,360",3.12%,$8.37,"$2,962.03",25,$118.48,7.06%
Nov-21,300,"10,160",2.95%,$9.01,"$2,701.51",11,$245.59,3.67%
Dec-21,304,"8,813",3.45%,$8.85,"$2,691.85",16,$168.24,5.26%
Jan-22,291,"9,418",3.09%,$8.39,"$2,442.50",7,$348.93,2.41%
Feb-22,279,"8,753",3.19%,$8.67,"$2,418.32",7,$345.47,2.51%
Mar-22,309,"10,354",2.98%,$8.68,"$2,681.89",11,$243.81,3.56%
Apr-22,301,"8,377",3.59%,$9.17,"$2,760.98",14,$197.21,4.65%
May-22,287,"8,636",3.32%,$9.13,"$2,620.70",15,$174.71,5.23%
Jun-22,312,"8,355",3.73%,$8.73,"$2,722.61",10,$272.26,3.21%
Jul-22,307,"10,926",2.81%,$8.22,"$2,524.44",6,$420.74,1.95%
Aug-22,309,"10,337",2.99%,$8.70,"$2,687.63",10,$268.76,3.24%
Sep-22,300,"9,572",3.13%,$9.26,"$2,777.42",15,$185.16,5.00%
Oct-22,308,"10,813",2.85%,$9.70,"$2,986.83",17,$175.70,5.52%
Nov-22,341,"9,814",3.47%,$9.43,"$3,215.51",11,$292.32,3.23%
Dec-22,250,"6,325",3.95%,$9.06,"$2,265.62",5,$453.12,2.00%
Jan-23,258,"3,345",7.71%,$7.75,"$1,998.62",2,$999.31,0.78%
Feb-23,59,"2,345",2.52%,$13.19,$778.38,2,$389.19,3.39%
Mar-23,177,"6,013",2.94%,$19.60,"$3,470.02",7,$495.72,3.95%
Apr-23,342,"14,769",2.32%,$14.03,"$4,797.81",7,$685.40,2.05%
May-23,213,"8,044",2.65%,$11.70,"$2,491.49",4,$622.87,1.88%
Jun-23,203,"7,879",2.58%,$9.01,"$1,828.97",1,"$1,828.97",0.49%
Jul-23,158,"5,469",2.89%,$6.95,"$1,098.39",5,$219.68,3.16%
Aug-23,178,"5,299",3.36%,$6.29,"$1,119.94",4,$279.99,2.25%
Sep-23,161,"5,007",3.22%,$7.09,"$1,141.31",6,$190.22,3.73%
Oct-23,219,"5,382",4.07%,$6.91,"$1,514.32",9,$168.26,4.11%
Nov-23,186,"5,841",3.18%,$9.07,"$1,686.40",3,$562.13,1.61%
Dec-23,162,"3,585",4.52%,$13.71,"$2,220.57",4,$555.14,2.47%
Jan-24,286,"5,634",5.08%,$8.35,"$2,387.32",4,$596.83,1.40%
Feb-24,289,"6,092",4.74%,$9.31,"$2,691.82",9,$299.09,3.11%
Mar-24,180,"3,298",5.46%,$8.39,"$1,509.61",1,"$1,509.61",0.56%
Apr-24,116,"2,308",5.03%,$14.24,"$1,651.53",4,$412.88,3.45%
May-24,109,"2,674",4.08%,$28.98,"$3,158.36",9,$350.93,8.26%
Jun-24,354,"7,786",4.55%,$14.83,"$5,251.30",13,$403.95,3.67%
Jul-24,596,"9,242",6.45%,$10.62,"$6,327.05",26,$243.35,4.36%
Aug-24,338,"4,766",7.09%,$19.86,"$6,711.85",33,$203.39,9.76%
Sep-24,164,"3,300",4.97%,$39.29,"$6,444.24",11,$585.84,6.71%
Oct-24,140,"3,371",4.15%,$23.48,"$3,287.63",12,$273.97,8.57%
Nov-24,155,"4,611",3.36%,$22.70,"$3,518.86",14,$251.35,9.03%
Dec-24,77,"2,110",3.65%,$21.31,"$1,640.79",8,$205.10,10.39%
Jan-25,123,"4,080",3.01%,$27.28,"$3,354.96",6,$559.16,4.88%
Feb-25,51,"2,596",1.96%,$22.53,"$1,148.96",4,$287.24,7.84%
